DEMO Traffic Flow Sunday 01 March 2020
Time	TcsNo	Approach	Volume
01/03/2020 16:50	8207	Approach  1 (det:  1-8)	101
01/03/2020 16:55	8207	Approach  1 (det:  1-8)	110
01/03/2020 17:00	8207	Approach  1 (det:  1-8)	94
01/03/2020 17:05	8207	Approach  1 (det:  1-8)	94
01/03/2020 17:10	8207	Approach  1 (det:  1-8)	88
01/03/2020 17:15	8207	Approach  1 (det:  1-8)	102
01/03/2020 17:20	8207	Approach  1 (det:  1-8)	94
01/03/2020 17:25	8207	Approach  1 (det:  1-8)	92
01/03/2020 17:30	8207	Approach  1 (det:  1-8)	90
01/03/2020 17:35	8207	Approach  1 (det:  1-8)	102
01/03/2020 17:40	8207	Approach  1 (det:  1-8)	112
01/03/2020 17:45	8207	Approach  1 (det:  1-8)	83
01/03/2020 17:50	8207	Approach  1 (det:  1-8)	67
01/03/2020 17:55	8207	Approach  1 (det:  1-8)	89
01/03/2020 18:00	8207	Approach  1 (det:  1-8)	77
01/03/2020 18:05	8207	Approach  1 (det:  1-8)	86
01/03/2020 18:10	8207	Approach  1 (det:  1-8)	114
01/03/2020 18:15	8207	Approach  1 (det:  1-8)	71
01/03/2020 18:20	8207	Approach  1 (det:  1-8)	89
01/03/2020 18:25	8207	Approach  1 (det:  1-8)	91
01/03/2020 18:30	8207	Approach  1 (det:  1-8)	84
01/03/2020 18:35	8207	Approach  1 (det:  1-8)	96
01/03/2020 18:40	8207	Approach  1 (det:  1-8)	92
01/03/2020 18:45	8207	Approach  1 (det:  1-8)	96
01/03/2020 18:50	8207	Approach  1 (det:  1-8)	109
01/03/2020 18:55	8207	Approach  1 (det:  1-8)	113
01/03/2020 19:00	8207	Approach  1 (det:  1-8)	88
01/03/2020 19:05	8207	Approach  1 (det:  1-8)	68
01/03/2020 19:10	8207	Approach  1 (det:  1-8)	102
01/03/2020 19:15	8207	Approach  1 (det:  1-8)	87
01/03/2020 19:20	8207	Approach  1 (det:  1-8)	87
01/03/2020 19:25	8207	Approach  1 (det:  1-8)	82
01/03/2020 19:30	8207	Approach  1 (det:  1-8)	85
01/03/2020 19:35	8207	Approach  1 (det:  1-8)	79
01/03/2020 19:40	8207	Approach  1 (det:  1-8)	89
01/03/2020 19:45	8207	Approach  1 (det:  1-8)	76
01/03/2020 19:50	8207	Approach  1 (det:  1-8)	95
01/03/2020 19:55	8207	Approach  1 (det:  1-8)	91
01/03/2020 20:00	8207	Approach  1 (det:  1-8)	84
01/03/2020 20:05	8207	Approach  1 (det:  1-8)	93
01/03/2020 20:10	8207	Approach  1 (det:  1-8)	82
01/03/2020 20:15	8207	Approach  1 (det:  1-8)	74
01/03/2020 20:20	8207	Approach  1 (det:  1-8)	91
01/03/2020 20:25	8207	Approach  1 (det:  1-8)	58
01/03/2020 20:30	8207	Approach  1 (det:  1-8)	76
01/03/2020 20:35	8207	Approach  1 (det:  1-8)	58
01/03/2020 20:40	8207	Approach  1 (det:  1-8)	77
01/03/2020 20:45	8207	Approach  1 (det:  1-8)	78
01/03/2020 20:50	8207	Approach  1 (det:  1-8)	74
01/03/2020 20:55	8207	Approach  1 (det:  1-8)	79
01/03/2020 21:00	8207	Approach  1 (det:  1-8)	70
01/03/2020 21:05	8207	Approach  1 (det:  1-8)	60
01/03/2020 21:10	8207	Approach  1 (det:  1-8)	77
01/03/2020 21:15	8207	Approach  1 (det:  1-8)	87
